date,ticker,close,ma50,ma200,dist_ma50_pct,dist_ma200_pct,ma50_gt_ma200,breakout_3m,atr_pct,dd_3m_pct,ret_1m_pct,ret_3m_pct,score
2026-03-03,RDW,8.595,9.6625,10.6237,-11.048,-19.096,0,0,9.998,-39.472,-26.851,55.989,0
2026-03-03,ASST,8.05,14.1851,60.9048,-43.25,-86.783,0,0,10.551,-63.409,-50.974,-64.062,0
2026-03-03,SATL,3.01,3.2462,3.1111,-7.276,-3.25,1,0,12.278,-45.273,-34.565,82.424,20
2026-03-03,IBRX,9.89,5.4493,3.2577,81.491,203.588,1,0,13.979,-14.372,58.24,319.068,75
2026-03-03,VG,12.115,8.6467,11.272,40.111,7.479,0,1,6.621,0.0,23.622,62.85,80
2026-03-03,PRME,4.29,3.8056,3.7656,12.729,13.927,1,0,6.783,-8.235,12.598,12.304,75
2026-03-03,ATAI,3.645,3.883,3.9351,-6.129,-7.372,0,0,9.006,-18.09,-3.059,-6.298,0
2026-03-03,TMDX,136.375,134.018,125.7347,1.759,8.463,1,0,6.18,-9.337,1.791,-6.79,75
2026-03-03,BAC,49.97,53.7728,50.1345,-7.072,-0.328,1,0,3.473,-12.716,-6.071,-6.375,20
2026-03-03,PLTR,147.22,159.6202,161.6726,-7.769,-8.939,0,0,4.656,-24.18,0.43,-12.603,0
2026-03-03,QBTS,18.24,23.9784,22.3922,-23.932,-18.543,1,0,8.418,-43.336,-14.043,-19.541,20
2026-03-03,OKLO,63.3,78.97,85.1311,-19.843,-25.644,0,0,7.837,-43.305,-20.497,-30.729,0
2026-03-03,RKLB,70.13,77.3518,53.3754,-9.336,31.39,1,0,7.758,-27.175,-12.414,66.421,55
2026-03-03,NBIS,86.8,94.3032,81.9428,-7.956,5.928,1,0,9.373,-20.169,1.89,-8.506,55
2026-03-03,IREN,38.85,46.2571,35.5992,-16.013,9.132,1,0,9.538,-38.275,-27.707,-18.741,55
2026-03-03,ZETA,18.04,19.1272,17.7636,-5.684,1.556,1,0,7.064,-26.066,-2.906,-1.151,55
2026-03-03,OPEN,4.97,5.6645,4.9138,-12.261,1.143,1,0,8.791,-34.433,-3.495,-35.455,55
2026-03-03,EOSE,6.06,13.03,10.2567,-53.492,-40.917,1,0,21.212,-66.74,-58.607,-59.734,20
2026-03-03,NVTS,8.9,8.9125,8.0134,-0.14,11.064,1,0,8.643,-21.169,3.73,1.831,55
2026-03-03,CIFR,14.71,16.3776,12.039,-10.182,22.186,1,0,10.581,-25.819,-7.832,-27.715,55
2026-03-03,NUAI,4.31,4.8862,2.6165,-11.792,64.721,1,0,11.772,-46.526,-37.172,-15.324,55
2026-03-03,CAN,0.4799,0.6643,0.8437,-27.754,-43.122,0,0,9.392,-50.981,-29.426,-52.485,0
2026-03-03,ONDS,10.02,10.836,6.4237,-7.53,55.984,1,0,10.838,-28.48,-3.282,26.835,55
2026-03-03,SKYT,29.85,27.8136,16.8222,7.322,77.444,1,0,4.496,-14.175,-5.717,93.957,75
2026-03-03,PL,25.3,23.528,12.7952,7.531,97.73,1,0,8.42,-12.092,1.322,112.605,75
2026-03-03,ADUR,10.34,12.089,11.8099,-14.468,-12.446,1,0,7.794,-30.37,-20.339,-22.021,20
2026-03-03,RDW,8.95,9.6696,10.6254,-7.442,-15.768,0,0,9.625,-36.972,-23.83,62.432,0
2026-03-03,ASST,8.33,14.1907,60.9062,-41.3,-86.323,0,0,10.201,-62.136,-49.269,-62.812,0
2026-03-03,SATL,3.12,3.2484,3.1117,-3.953,0.268,1,0,11.983,-43.273,-32.174,89.091,55
2026-03-03,IBRX,10.0,5.4515,3.2582,83.436,206.913,1,0,13.925,-13.42,60.0,323.729,75
2026-03-03,VG,11.46,8.6336,11.2687,32.737,1.698,0,0,7.09,0.0,16.939,54.045,55
2026-03-03,PRME,4.23,3.8044,3.7653,11.187,12.342,1,0,6.93,-9.519,11.024,10.733,75
2026-03-03,ATAI,3.69,3.8839,3.9353,-4.992,-6.234,0,0,8.916,-17.079,-1.862,-5.141,0
2026-03-03,TMDX,148.0,134.2505,125.7928,10.242,17.654,1,0,5.769,-1.609,10.468,1.155,75
2026-03-04,BAC,49.97,53.7728,50.1345,-7.072,-0.328,1,0,3.474,-12.716,-6.071,-6.375,20
2026-03-04,PLTR,147.22,159.6202,161.6726,-7.769,-8.939,0,0,4.656,-24.18,0.43,-12.603,0
2026-03-04,QBTS,18.24,23.9784,22.3922,-23.932,-18.543,1,0,8.418,-43.336,-14.043,-19.541,20
2026-03-04,OKLO,63.3,78.97,85.1311,-19.843,-25.644,0,0,7.837,-43.305,-20.497,-30.729,0
2026-03-04,RKLB,70.13,77.3518,53.3754,-9.336,31.39,1,0,7.759,-27.175,-12.414,66.421,55
2026-03-04,NBIS,86.8,94.3032,81.9428,-7.956,5.928,1,0,9.373,-20.169,1.89,-8.506,55
2026-03-04,IREN,38.85,46.2571,35.5992,-16.013,9.132,1,0,9.538,-38.275,-27.707,-18.741,55
2026-03-04,ZETA,18.04,19.1272,17.7636,-5.684,1.556,1,0,7.064,-26.066,-2.906,-1.151,55
2026-03-04,OPEN,4.97,5.6645,4.9138,-12.261,1.143,1,0,8.791,-34.433,-3.495,-35.455,55
2026-03-04,EOSE,6.06,13.03,10.2567,-53.492,-40.917,1,0,21.223,-66.74,-58.607,-59.734,20
2026-03-04,NVTS,8.9,8.9125,8.0134,-0.14,11.064,1,0,8.643,-21.169,3.73,1.831,55
2026-03-04,CIFR,14.71,16.3776,12.039,-10.182,22.186,1,0,10.581,-25.819,-7.832,-27.715,55
2026-03-04,NUAI,4.31,4.8862,2.6165,-11.792,64.721,1,0,11.772,-46.526,-37.172,-15.324,55
2026-03-04,CAN,0.48,0.6643,0.8437,-27.739,-43.11,0,0,9.39,-50.97,-29.412,-52.475,0
2026-03-04,ONDS,10.02,10.836,6.4237,-7.53,55.984,1,0,10.838,-28.48,-3.282,26.835,55
2026-03-04,SKYT,29.85,27.8136,16.8222,7.322,77.444,1,0,4.496,-14.175,-5.717,93.957,75
2026-03-04,PL,25.3,23.528,12.7952,7.531,97.73,1,0,8.42,-12.092,1.322,112.605,75
2026-03-04,ADUR,10.34,12.089,11.8099,-14.468,-12.446,1,0,7.794,-30.37,-20.339,-22.021,20
2026-03-04,RDW,8.95,9.6696,10.6254,-7.442,-15.768,0,0,9.625,-36.972,-23.83,62.432,0
2026-03-04,ASST,8.33,14.1907,60.9062,-41.3,-86.323,0,0,10.201,-62.136,-49.269,-62.812,0
2026-03-04,SATL,3.12,3.2484,3.1117,-3.953,0.268,1,0,11.983,-43.273,-32.174,89.091,55
2026-03-04,IBRX,10.0,5.4515,3.2582,83.436,206.913,1,0,13.925,-13.42,60.0,323.729,75
2026-03-04,VG,11.46,8.6336,11.2687,32.737,1.698,0,0,7.093,0.0,16.939,54.045,55
2026-03-04,PRME,4.23,3.8044,3.7653,11.187,12.342,1,0,6.93,-9.519,11.024,10.733,75
2026-03-04,ATAI,3.69,3.8839,3.9353,-4.992,-6.234,0,0,8.916,-17.079,-1.862,-5.141,0
2026-03-04,TMDX,148.0,134.2505,125.7928,10.242,17.654,1,0,5.769,-1.609,10.468,1.155,75
2026-03-04,ADUR,10.8,12.0616,11.8338,-10.46,-8.736,1,0,7.202,-27.273,-13.807,-14.489,20
2026-03-04,AEHR,43.435,28.3221,22.5147,53.361,92.919,1,0,9.79,-1.351,66.673,92.787,75
2026-03-04,AI,9.275,12.0387,17.8977,-22.957,-48.178,0,0,8.689,-42.14,-15.064,-34.173,0
2026-03-04,ALKT,16.92,19.7428,23.6312,-14.298,-28.4,0,0,6.974,-28.517,-15.315,-18.615,0
2026-03-04,AMSC,31.09,31.5696,40.9702,-1.519,-24.116,0,0,9.397,-15.194,3.91,0.0,0
2026-03-04,ARDX,6.27,6.8082,5.558,-7.905,12.81,1,0,6.353,-21.527,-19.512,12.165,55
2026-03-04,ASST,9.26,14.0435,60.2655,-34.062,-84.635,0,0,8.945,-57.909,-35.961,-55.905,0
2026-03-04,ASTS,102.18,93.8854,63.8445,8.835,60.045,1,0,8.016,-16.308,-2.267,94.222,75
2026-03-04,ATAI,3.655,3.8788,3.9455,-5.77,-7.362,0,0,8.835,-17.865,-4.818,-4.818,0
2026-03-04,AVAV,227.015,283.0831,273.1081,-19.806,-16.877,1,0,10.155,-42.215,-15.917,-11.941,20
2026-03-04,BAC,49.7038,53.6817,50.1648,-7.41,-0.919,1,0,3.206,-13.181,-8.007,-6.157,20
2026-03-04,BBAI,3.875,5.1793,5.8287,-25.183,-33.519,0,0,7.733,-44.801,-18.933,-35.95,0
2026-03-04,CAN,0.5316,0.6593,0.8426,-19.373,-36.908,0,0,9.015,-45.7,-13.561,-43.924,0
2026-03-04,CIFR,15.58,16.3862,12.101,-4.92,28.749,1,0,9.591,-21.432,-1.455,-20.874,55
2026-03-04,CLSK,10.235,11.2052,12.2069,-8.658,-16.154,0,0,7.755,-31.903,-7.292,-27.308,0
2026-03-04,CRNX,39.51,48.3307,39.2873,-18.251,0.567,1,0,5.582,-29.984,-19.939,-12.685,55
2026-03-04,DCBO,18.49,19.6639,25.4,-5.97,-27.205,0,0,5.188,-19.187,-5.855,-10.373,0
2026-03-04,ENVX,5.2244,6.9812,9.4244,-25.165,-44.565,0,0,7.942,-42.778,-23.731,-28.335,0
2026-03-04,EOSE,6.745,12.9187,10.2549,-47.789,-34.227,1,0,17.871,-62.98,-52.231,-50.423,20
2026-03-04,FLNC,16.01,21.727,14.1206,-26.313,13.381,1,0,7.636,-50.326,-48.171,-17.432,55
2026-03-04,IBRX,9.3,5.5957,3.2914,66.199,182.555,1,0,15.365,-19.481,51.713,304.348,75
2026-03-04,INOD,45.1,52.9916,54.6679,-14.892,-17.502,0,0,7.045,-30.626,-18.267,-18.045,0
2026-03-04,IOVA,3.855,2.7861,2.3678,38.365,62.808,1,0,7.597,-0.13,47.701,72.87,75
2026-03-04,IREN,42.825,46.3976,35.7746,-7.7,19.708,1,0,8.711,-31.959,-19.32,-11.683,55
2026-03-04,KTOS,87.45,97.4792,73.8876,-10.289,18.355,1,0,8.302,-33.101,-9.058,19.451,55
2026-03-04,LUNR,18.2597,18.1068,12.5122,0.844,45.935,1,0,10.085,-19.949,2.353,97.189,75
2026-03-04,MP,61.31,60.3122,57.462,1.654,6.697,1,0,5.553,-11.886,3.722,5.525,75
2026-03-04,MRSN,29.08,22.8774,11.9906,27.112,142.523,1,0,1.83,-0.069,5.861,254.634,75
2026-03-04,NBIS,93.715,94.6157,82.2324,-0.952,13.964,1,0,8.711,-13.809,6.301,-6.425,55
2026-03-04,NUAI,4.4741,4.9031,2.6355,-8.749,69.762,1,0,10.537,-44.49,-26.774,-7.56,55
2026-03-04,NVTS,8.95,8.9441,8.0478,0.066,11.211,1,0,8.563,-20.726,3.828,7.831,75
2026-03-04,OKLO,64.69,78.7094,85.2675,-17.812,-24.133,0,0,7.164,-42.06,-12.13,-25.95,0
2026-03-04,ONDS,10.029,10.8806,6.4696,-7.827,55.017,1,0,10.721,-28.415,-5.742,32.309,55
2026-03-04,OPEN,5.085,5.6406,4.9356,-9.85,3.027,1,0,8.571,-32.916,5.498,-28.782,55
2026-03-04,PL,25.835,23.6949,12.905,9.032,100.194,1,0,7.853,-10.233,13.063,120.812,75
2026-03-04,PLTR,147.22,159.6202,161.6726,-7.769,-8.939,0,0,4.656,-24.18,0.43,-12.603,0
2026-03-04,PRME,4.2,3.8164,3.78,10.051,11.112,1,0,6.979,-10.16,10.526,20.0,75
2026-03-04,QBTS,18.53,23.8512,22.4297,-22.31,-17.386,1,0,7.825,-42.436,-11.636,-13.492,20
2026-03-04,RDW,8.995,9.7091,10.6058,-7.355,-15.188,0,0,9.192,-36.655,-17.325,75.684,0
2026-03-04,RKLB,71.235,77.5781,53.6055,-8.176,32.888,1,0,7.333,-26.028,-3.931,76.455,55
2026-03-04,RUN,12.29,18.699,15.5364,-34.275,-20.895,1,0,13.614,-42.597,-32.435,-33.747,20
2026-03-04,SATL,3.2201,3.2766,3.1045,-1.724,3.724,1,0,11.366,-41.453,-12.497,101.256,55
